저축은행정렬,상품명정렬,약정금리정렬,세후금리정렬,"최고우대
금리정렬","중도해지
금리
(12개월상품)정렬",세후 단리,세후 복리,"만기 시
예상금액"
상상인,뱅뱅뱅 회전정기예금,3.91%,3.31%,3.91%,0.00%,"330,786","336,778","10,330,786"
상상인,회전정기예금,3.91%,3.31%,3.91%,0.00%,"330,786","336,778","10,330,786"
상상인,회전E-정기예금,3.91%,3.31%,3.91%,0.00%,"330,786","336,778","10,330,786"
상상인,비대면 회전정기예금,3.91%,3.31%,3.91%,0.00%,"330,786","336,778","10,330,786"
BNK,"정기예금(비대면,인터넷,모바일)",3.90%,3.30%,3.90%,2.34%,"329,940","335,902","10,329,940"
BNK,삼삼한정기예금(회전정기예금)(1년단위 변동금리),3.90%,3.30%,3.90%,2.34%,"329,940","335,902","10,329,940"
HB,스마트회전정기예금,3.90%,3.30%,3.90%,2.34%,"329,940","335,902","10,329,940"
HB,e-회전정기예금,3.90%,3.30%,3.90%,2.34%,"329,940","335,902","10,329,940"
OSB,정기예금,3.90%,3.30%,3.90%,2.34%,"329,940","335,902","10,329,940"
OSB,인터넷정기예금,3.90%,3.30%,3.90%,2.34%,"329,940","335,902","10,329,940"
대백,애플정기예금,3.90%,3.30%,3.90%,2.14%,"329,940","335,902","10,329,940"
바로,SB톡톡 정기예금(비대면),3.90%,3.30%,3.90%,1.93%,"329,940","335,902","10,329,940"
바로,스마트정기예금(인터넷),3.90%,3.30%,3.90%,1.93%,"329,940","335,902","10,329,940"
바로,정기예금,3.90%,3.30%,3.90%,1.93%,"329,940","335,902","10,329,940"
청주,펫팸정기예금_천안지점,3.90%,3.30%,4.00%,2.34%,"329,940","335,902","10,329,940"
오투,E-정기예금,3.86%,3.27%,3.86%,2.31%,"326,556","332,395","10,326,556"
오투,비대면 정기예금,3.86%,3.27%,3.86%,2.31%,"326,556","332,395","10,326,556"
HB,스마트정기예금,3.85%,3.26%,3.85%,2.31%,"325,709","331,519","10,325,709"
HB,e-정기예금,3.85%,3.26%,3.85%,2.31%,"325,709","331,519","10,325,709"
대한,정기예금(인터넷뱅킹),3.85%,3.26%,3.85%,2.31%,"325,709","331,519","10,325,709"
더블,"정기예금(인터넷뱅킹,스마트뱅킹)",3.85%,3.26%,3.85%,2.31%,"325,709","331,519","10,325,709"
더블,정기예금,3.85%,3.26%,3.85%,2.31%,"325,709","331,519","10,325,709"
스마트,정기예금,3.85%,3.26%,3.85%,2.12%,"325,709","331,519","10,325,709"
애큐온,3-UP정기예금,3.85%,3.26%,3.85%,0.00%,"325,709","331,519","10,325,709"
애큐온,3-UP정기예금(모바일),3.85%,3.26%,3.85%,0.00%,"325,709","331,519","10,325,709"
에스앤티,정기예금,3.85%,3.26%,3.85%,2.31%,"325,709","331,519","10,325,709"
에스앤티,정기예금(비대면),3.85%,3.26%,3.85%,2.31%,"325,709","331,519","10,325,709"
엠에스,e-정기예금,3.85%,3.26%,3.85%,2.31%,"325,709","331,519","10,325,709"
융창,SB톡톡 정기예금,3.85%,3.26%,3.85%,2.11%,"325,709","331,519","10,325,709"
융창,SB톡톡 회전식 정기예금 (변동금리),3.85%,3.26%,3.85%,2.11%,"325,709","331,519","10,325,709"
조흥,e-정기예금,3.85%,3.26%,3.85%,2.11%,"325,709","331,519","10,325,709"
키움YES,SB톡톡 회전yes정기예금(1년단위 변동금리상품) (비대면),3.85%,3.26%,3.85%,1.93%,"325,709","331,519","10,325,709"
키움YES,회전yes정기예금(1년단위 변동금리상품),3.85%,3.26%,3.85%,1.93%,"325,709","331,519","10,325,709"
키움YES,"e-회전yes정기예금(1년단위 변동금리상품) (인터넷뱅킹, 스마트뱅킹)",3.85%,3.26%,3.85%,1.93%,"325,709","331,519","10,325,709"
CK,"정기예금(인터넷,모바일,비대면)",3.83%,3.24%,3.83%,2.10%,"324,018","329,766","10,324,018"
스마트,e-정기예금,3.82%,3.23%,3.82%,2.10%,"323,172","328,890","10,323,172"
스마트,e-로운 정기예금,3.82%,3.23%,3.82%,2.10%,"323,172","328,890","10,323,172"
OK,OK e-안심정기예금(변동금리),3.81%,3.22%,3.81%,2.28%,"322,326","328,014","10,322,326"
OK,OK안심정기예금(변동금리),3.81%,3.22%,3.81%,2.28%,"322,326","328,014","10,322,326"
OK,OK e-안심앱플러스정기예금(변동금리),3.81%,3.22%,3.81%,2.28%,"322,326","328,014","10,322,326"
상상인,정기예금,3.81%,3.22%,3.81%,0.00%,"322,326","328,014","10,322,326"
상상인,e-정기예금,3.81%,3.22%,3.81%,0.00%,"322,326","328,014","10,322,326"
상상인,뱅뱅뱅 정기예금,3.81%,3.22%,3.81%,0.00%,"322,326","328,014","10,322,326"
상상인,비대면 정기예금,3.81%,3.22%,3.81%,0.00%,"322,326","328,014","10,322,326"
BNK,정기예금(대면),3.80%,3.21%,3.80%,2.28%,"321,480","327,138","10,321,480"
DB,M-DreamBig 정기예금(12개월회전/모바일),3.80%,3.21%,3.80%,2.03%,"321,480","327,138","10,321,480"
HB,회전정기예금,3.80%,3.21%,3.80%,2.28%,"321,480","327,138","10,321,480"
JT,정기예금,3.80%,3.21%,3.90%,1.05%,"321,480","327,138","10,321,480"
